vote_id,vote_date,vote_title,vote_legal_type,vote_result,bill_id
552.1,2010-11-28,"Volksinitiative ""Für die Ausschaffung krimineller Ausländer (Ausschaffungsinitiative)""",3,1,20090060-2
553,2010-11-28,"Volksinitiative ""Für faire Steuern. Stopp dem Missbrauch beim Steuerwettbewerb (Steuergerechtigkeits-Initiative)""",3,0,20090031-1
552.2,2010-11-28,Bundesbeschluss über die Aus- und Wegweisung krimineller Ausländerinnen und Ausländer (direkter Gegenentwurf zur Auschaffungsinitiative),4,0,20090060-3
554,2011-02-13,"Volksinitiative ""Für den Schutz vor Waffengewalt""",3,0,20090098-1
558,2012-03-11,Bundesbeschluss über die Regelung der Geldspiele zugunsten gemeinnütziger Zwecke,4,1,20100093-2
557,2012-03-11,"Volksinitiative ""6 Wochen Ferien für alle""",3,0,20100057-1
559,2012-03-11,Bundesgesetz über die Buchpreisbindung,2,0,20040430-1
555,2012-03-11,"Volksinitiative ""Schluss mit uferlosem Bau von Zweitwohnungen!""",3,1,20080073-1
556,2012-03-11,"Volksinitiative ""Für ein steuerlich begünstigtes Bausparen""",3,0,20090074-1
560,2012-06-17,Volksinitiative «Eigene vier Wände dank Bausparen»,3,0,20090074-2
562,2012-06-17,Änderung des Bundesgesetzes über die Krankenversicherung (Managed Care),2,0,20040062-1
561,2012-06-17,Volksinitiative «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!)»,3,0,20100090-1
565,2012-09-23,Volksinitiative «Schutz vor Passivrauchen»,3,0,20110025-1
564,2012-09-23,Volksinitiative «Sicheres Wohnen im Alter»,3,0,20100060-1
563,2012-09-23,Bundesbeschluss über die Jugendmusikförderung (Gegenentwurf zur Volksinitiative «jugend + musik»),4,1,20090095-2
566,2012-11-25,Tierseuchengesetz (TSG),2,1,20110059-1
567,2013-03-03,Bundesbeschluss über die Familienpolitik,1,0,20070419-1
568,2013-03-03,Volksinitiative «gegen die Abzockerei»,3,1,20080080-1
569,2013-03-03,Bundesgesetz über die Raumplanung,2,1,20100019-1
571,2013-06-09,Asylgesetz (AsylG) (Dringliche Änderungen des Asylgesetzes),2,1,20100052-3
570,2013-06-09,Volksinitiative «Volkswahl des Bundesrates»,3,0,20120056-1
574,2013-09-22,Arbeitsgesetz (Liberalisierung der Öffnungszeiten von Tankstellenshops),2,1,20090462-1
573,2013-09-22,Bundesgesetz über die Bekämpfung übertragbarer Krankheiten des Menschen (Epidemiengesetz),2,1,20100107-1
572,2013-09-22,Volksinitiative «Ja zur Aufhebung der Wehrpflicht»,3,0,20120073-1
575,2013-11-24,Volksinitiative «1:12 – Für gerechte Löhne»,3,0,20120017-1
576,2013-11-24,"Volksinitiative «Familieninitiative: Steuerabzüge auch für Eltern, die ihre Kinder selber betreuen»",3,0,20120068-1
577,2013-11-24,Bundesgesetz über die Abgabe für die Benützung von Nationalstrassen,2,0,20120018-2
