preparl_phases_id,bill_id,preparl_phases_type,preparl_phases_order,preparl_phases_start_date,preparl_phases_end_state,preparl_phases_count
1402,20130051-1,04,1,2009-02-19,2009-05-18,2
1403,20130051-1,04,2,2011-06-29,2011-09-30,2
1379,20130051-2,04,1,2009-02-19,2009-05-18,2
1380,20130051-2,04,2,2011-06-29,2011-09-30,2
1381,20130052-1,02,1,2010-09-17,NA,2
1382,20130052-1,04,2,2012-06-01,2012-09-30,2
1000,20130056-1,04,2,2012-05-23,2012-09-30,2
999,20130056-1,03,1,2010-12-22,2011-06-21,2
1392,20130058-1,04,1,2012-10-31,2013-02-14,1
1446,20130058-2,04,1,2012-10-31,2013-02-14,1
1449,20130059-1,05,1,2009-11-27,2010-04-30,2
1450,20130059-1,04,2,2012-04-25,2012-08-31,2
1447,20130060-1,04,1,NA,2014-04-18,1
1113,20130064-1,04,1,2013-02-27,2013-05-31,1
1204,20130066-1,04,1,2012-12-21,2013-02-06,1
1329,20130067-1,05,1,NA,NA,2
1330,20130067-1,02,2,NA,NA,2
1114,20130069-1,04,1,2012-11-21,2013-03-08,1
1205,20130072-1,04,1,2012-06-15,2012-10-11,1
1206,20130072-2,04,1,2012-06-15,2012-10-11,1
1556,20130073-1,05,1,2011-06-30,NA,2
1557,20130073-1,05,2,2012-07-15,NA,2
1350,20130076-1,03,1,NA,NA,2
1351,20130076-1,04,2,2012-09-21,2012-12-21,2
1001,20130077-1,04,1,2012-12-19,2013-04-21,1
1336,20130082-1,05,1,NA,NA,1
1002,20130083-1,04,1,2013-08-14,2013-09-18,1
1115,20130087-1,04,1,2012-11-15,2013-02-20,1
1003,20130088-1,04,1,2012-11-21,2013-04-08,1
1005,20130090-1,01,1,2009-06-30,2009-06-30,2
1006,20130090-1,04,2,na,2013-06-24,2
1232,20130092-1,05,1,na,na,2
1233,20130092-1,05,2,2012-06-30,na,2
1116,20130099-1,05,1,2013-06-19,2013-07-19,1
1451,20130101-1,05,1,2012-04-30,2012-04-30,3
1452,20130101-1,04,2,2012-07-04,2012-11-07,3
1453,20130101-1,03,3,NA,NA,3
1128,20130103-1,04,1,2013-03-08,2013-06-30,1
1454,20130106-1,04,1,2013-02-27,2013-07-01,1
1117,20130108-1,04,1,2013-08-14,2013-10-14,1
1455,20130109-1,04,1,2013-06-26,2013-08-30,1
1456,20130467-1,04,1,2013-11-19,2014-02-17,1
1918,20140008-1,05,1,NA,NA,1
1424,20140021-1,04,1,2013-06-26,2013-10-20,1
1134,20140022-1,04,1,2013-03-08,2013-06-30,1
1009,20140023-1,04,1,2013-06-26,2013-10-23,1
1920,20140027-1,04,1,2013-04-10,2013-08-07,1
1921,20140028-1,04,2,2013-06-26,2013-10-31,2
1922,20140028-1,03,1,NA,NA,2
1425,20140029-1,04,1,2013-06-14,2013-11-15,1
1426,20140029-2,04,1,2013-06-14,2013-11-15,1
1135,20140031-1,04,1,2013-11-20,2014-02-20,1
1138,20140032-1,04,1,2013-11-20,2014-02-20,1
1136,20140032-2,04,1,2013-11-20,2014-02-20,1
1137,20140032-3,04,1,2013-11-20,2014-02-20,1
1024,20140035-1,04,1,2013-05-15,2013-09-05,1
1207,20140036-1,04,1,2013-04-16,2013-08-15,1
1923,20140036-2,04,1,2013-04-16,2013-08-15,1
1118,20140040-1,04,1,2013-10-09,2014-01-23,1
1245,20140049-1,04,1,2013-12-06,2014-03-21,1
1025,20140051-1,04,1,2013-04-10,2031-07-10,1
1924,20140055-1,03,1,NA,NA,1
1246,20140056-1,05,1,2013-11-22,2013-12-12,1
1247,20140056-2,05,1,2013-11-22,2013-12-12,1
1248,20140056-3,05,1,2014-03-19,2014-04-07,1
1249,20140056-4,05,1,2014-03-19,2014-04-07,1
1026,20140059-1,04,1,2013-09-04,2013-12-13,1
1427,20140060-1,04,1,2014-03-26,2014-07-03,1
